AnimalName,BloodBrainDisease,AppearenceDisease,GeneralDisease,LungDisease,AbdominalDisease,HealthStatus
Dog,anemia,swelling,fever,difficulty in breathing,uteria inertia,Critical
Dog,anemia,emaciation,loss of appetite,difficulty in breathing,ulcers,Critical
Dog,jaundice,hairloss,loss of appetite,halitosis,ulcers,Critical
Dog,wasting,ruffled feathers,pains,pneumonia,uteria inertia,Critical
Dog,convulsions,scabs,weakness,dyspnea,fetopelvic disproportion,Critical
Dog,jaundice,scabs,loss of appetite,respiratory distress,upset stomach,Critical
Dog,jaundice,swelling,vomiting,halitosis,abdominal pain,Critical
Dog,seizures,scabs,vomiting,pneumonia,upset stomach,Critical
Dog,jaundice,emaciation,fever,difficulty in breathing,uteria inertia,Critical
Dog,wasting,weightloss,skin rashes,halitosis,abdominal pain,Critical
Dog,convulsions,emaciation,muscle aches,halitosis,upset stomach,Critical
Dog,jaundice,hairloss,sneezing,dyspnea,diarrhea,Critical
Dog,wasting,swelling,vomiting,dyspnea,uteria inertia,Critical
Dog,seizures,hairloss,loss of appetite,halitosis,diarrhea,Critical
Dog,anemia,weightloss,muscle aches,dyspnea,fetopelvic disproportion,Critical
Dog,anemia,swelling,skin rashes,dyspnea,uteria inertia,Critical
Dog,convulsions,scabs,vomiting,halitosis,abdominal pain,Critical
Dog,anemia,hairloss,coughing,dyspnea,abdominal pain,Critical
Dog,seizures,weightloss,fever,difficulty in breathing,abdominal pain,Critical
Dog,anemia,ruffled feathers,coughing,nasal discharge,fetopelvic disproportion,Critical
Dog,jaundice,weightloss,vomiting,nasal discharge,uteria inertia,Critical
Dog,convulsions,weightloss,vomiting,pneumonia,fetopelvic disproportion,Critical
Dog,wasting,swelling,headache,dyspnea,fetopelvic disproportion,Critical
Dog,anemia,hairloss,headache,difficulty in breathing,diarrhea,Critical
Dog,wasting,weightloss,coughing,nasal discharge,uteria inertia,Critical
Dog,seizures,hairloss,stumbling,difficulty in breathing,ulcers,Critical
Dog,seizures,weightloss,sneezing,difficulty in breathing,fetopelvic disproportion,Critical
Dog,wasting,emaciation,pains,pneumonia,abdominal pain,Critical
Dog,wasting,hairloss,pains,pneumonia,upset stomach,Critical
Dog,wasting,ruffled feathers,fever,halitosis,abdominal pain,Critical
Dog,anemia,weightloss,dejection,difficulty in breathing,ulcers,Critical
Dog,anemia,hairloss,pains,pneumonia,abdominal pain,Critical
Dog,wasting,weightloss,muscle aches,dyspnea,ulcers,Critical
Dog,anemia,emaciation,dejection,respiratory distress,fetopelvic disproportion,Critical
cat,anemia,swelling,sneezing,respiratory distress,upset stomach,Critical
cat,wasting,emaciation,pains,difficulty in breathing,upset stomach,Critical
cat,wasting,swelling,sneezing,pneumonia,diarrhea,Critical
cat,seizures,ruffled feathers,pains,difficulty in breathing,diarrhea,Critical
cat,convulsions,hairloss,muscle aches,dyspnea,ulcers,Critical
cat,jaundice,emaciation,pains,difficulty in breathing,fetopelvic disproportion,Critical
cat,seizures,scabs,pains,dyspnea,ulcers,Critical
cat,seizures,weightloss,sweating,nasal discharge,fetopelvic disproportion,Critical
cat,wasting,emaciation,headache,dyspnea,diarrhea,Critical
cat,seizures,emaciation,weakness,difficulty in breathing,uteria inertia,Critical
cat,anemia,scabs,fever,respiratory distress,ulcers,Critical
cat,convulsions,swelling,fever,pneumonia,upset stomach,Critical
cat,jaundice,hairloss,stumbling,difficulty in breathing,upset stomach,Critical
cat,convulsions,scabs,stumbling,difficulty in breathing,fetopelvic disproportion,Critical
cat,convulsions,emaciation,loss of appetite,respiratory distress,diarrhea,Critical
cat,anemia,weightloss,sneezing,halitosis,fetopelvic disproportion,Critical
cat,jaundice,scabs,stumbling,halitosis,uteria inertia,Critical
cat,anemia,swelling,vomiting,dyspnea,uteria inertia,Critical
cat,wasting,weightloss,fever,pneumonia,ulcers,Critical
cat,convulsions,ruffled feathers,coughing,pneumonia,ulcers,Critical
cat,jaundice,hairloss,headache,difficulty in breathing,diarrhea,Critical
cat,jaundice,ruffled feathers,skin rashes,difficulty in breathing,ulcers,Critical
cat,jaundice,ruffled feathers,weakness,halitosis,diarrhea,Critical
cat,seizures,swelling,loss of appetite,nasal discharge,ulcers,Critical
cat,wasting,weightloss,skin rashes,difficulty in breathing,ulcers,Critical
cat,jaundice,swelling,dejection,difficulty in breathing,diarrhea,Critical
cat,anemia,emaciation,pains,dyspnea,uteria inertia,Critical
cat,wasting,swelling,fever,halitosis,ulcers,Critical
cat,convulsions,emaciation,weakness,nasal discharge,upset stomach,Critical
cat,wasting,emaciation,weakness,dyspnea,fetopelvic disproportion,Critical
cat,convulsions,swelling,coughing,dyspnea,fetopelvic disproportion,Critical
cat,jaundice,ruffled feathers,vomiting,nasal discharge,uteria inertia,Critical
cat,anemia,scabs,pains,halitosis,ulcers,Critical
cat,convulsions,emaciation,stumbling,respiratory distress,abdominal pain,Critical
cat,seizures,ruffled feathers,sweating,halitosis,uteria inertia,Critical
cat,convulsions,hairloss,fever,halitosis,abdominal pain,Critical
Rabbit,seizures,emaciation,headache,dyspnea,fetopelvic disproportion,Critical
Rabbit,convulsions,weightloss,dejection,halitosis,uteria inertia,Critical
Rabbit,jaundice,ruffled feathers,headache,difficulty in breathing,uteria inertia,Critical
Rabbit,seizures,scabs,vomiting,nasal discharge,uteria inertia,Critical
Rabbit,seizures,ruffled feathers,pains,difficulty in breathing,uteria inertia,Critical
Rabbit,seizures,emaciation,fever,nasal discharge,uteria inertia,Critical
Rabbit,jaundice,weightloss,headache,pneumonia,upset stomach,Critical
Rabbit,seizures,emaciation,coughing,difficulty in breathing,upset stomach,Critical
Rabbit,convulsions,weightloss,sneezing,respiratory distress,fetopelvic disproportion,Critical
Rabbit,convulsions,ruffled feathers,fever,nasal discharge,upset stomach,Critical
Rabbit,seizures,emaciation,fever,halitosis,upset stomach,Critical
cow,convulsions,emaciation,dejection,halitosis,upset stomach,Critical
chicken,jaundice,ruffled feathers,dejection,pneumonia,ulcers,Critical
chicken,convulsions,emaciation,loss of appetite,dyspnea,fetopelvic disproportion,Critical
chicken,wasting,scabs,coughing,dyspnea,ulcers,Critical
chicken,seizures,emaciation,skin rashes,pneumonia,fetopelvic disproportion,Critical
cow,anemia,weightloss,pains,halitosis,ulcers,Critical
cow,convulsions,swelling,sweating,halitosis,ulcers,Critical
cattle,jaundice,ruffled feathers,sneezing,dyspnea,upset stomach,Critical
mammal,anemia,swelling,coughing,dyspnea,fetopelvic disproportion,Critical
Cattle,jaundice,weightloss,vomiting,respiratory distress,diarrhea,Critical
Cattle,wasting,hairloss,fever,difficulty in breathing,upset stomach,Critical
Cattle,wasting,swelling,skin rashes,respiratory distress,abdominal pain,Critical
Cattle,anemia,emaciation,vomiting,dyspnea,diarrhea,Critical
Cattle,wasting,hairloss,dejection,respiratory distress,upset stomach,Critical
Cattle,jaundice,hairloss,loss of appetite,dyspnea,ulcers,Critical
Cattle,wasting,swelling,stumbling,pneumonia,uteria inertia,Critical
Cattle,jaundice,scabs,weakness,difficulty in breathing,upset stomach,Critical
Cattle,jaundice,ruffled feathers,coughing,pneumonia,uteria inertia,Critical
Cattle,wasting,ruffled feathers,coughing,dyspnea,abdominal pain,Critical
Cattle,convulsions,swelling,headache,dyspnea,abdominal pain,Critical
Cattle,anemia,swelling,coughing,respiratory distress,diarrhea,Critical
Cattle,convulsions,hairloss,stumbling,pneumonia,fetopelvic disproportion,Critical
Cattle,wasting,emaciation,sneezing,difficulty in breathing,upset stomach,Critical
Cattle,jaundice,hairloss,vomiting,nasal discharge,abdominal pain,Critical
Cattle,seizures,scabs,coughing,respiratory distress,uteria inertia,Critical
Cattle,anemia,swelling,coughing,halitosis,uteria inertia,Critical
Cattle,wasting,weightloss,loss of appetite,dyspnea,upset stomach,Critical
Horse,jaundice,ruffled feathers,stumbling,pneumonia,upset stomach,Critical
Horse,convulsions,weightloss,sweating,halitosis,uteria inertia,Critical
Horse,convulsions,swelling,pains,halitosis,ulcers,Critical
Horse,jaundice,ruffled feathers,skin rashes,respiratory distress,diarrhea,Critical
Horse,wasting,emaciation,dejection,halitosis,diarrhea,Critical
Horse,anemia,swelling,loss of appetite,dyspnea,diarrhea,Critical
Horse,jaundice,weightloss,fever,respiratory distress,uteria inertia,Critical
Horse,anemia,swelling,fever,halitosis,fetopelvic disproportion,Critical
Horse,anemia,weightloss,sweating,pneumonia,upset stomach,Critical
Horse,convulsions,weightloss,coughing,difficulty in breathing,upset stomach,Critical
Turtle,wasting,emaciation,pains,halitosis,uteria inertia,Critical
Turtle,convulsions,scabs,headache,nasal discharge,upset stomach,Critical
Turtle,anemia,hairloss,sweating,nasal discharge,abdominal pain,Critical
Turtle,seizures,ruffled feathers,fever,difficulty in breathing,upset stomach,Critical
Hamster,wasting,swelling,stumbling,halitosis,fetopelvic disproportion,Critical
Hamster,anemia,emaciation,skin rashes,difficulty in breathing,abdominal pain,Critical
Hamster,convulsions,hairloss,vomiting,pneumonia,fetopelvic disproportion,Critical
Hamster,jaundice,scabs,muscle aches,nasal discharge,fetopelvic disproportion,Critical
Hamster,wasting,emaciation,pains,pneumonia,fetopelvic disproportion,Critical
Hamster,wasting,scabs,pains,difficulty in breathing,diarrhea,Critical
Hamster,anemia,emaciation,dejection,dyspnea,diarrhea,Critical
Lion,seizures,ruffled feathers,loss of appetite,difficulty in breathing,diarrhea,Critical
Lion,anemia,weightloss,skin rashes,respiratory distress,diarrhea,Critical
Lion,anemia,swelling,coughing,dyspnea,upset stomach,Critical
Lion,jaundice,emaciation,stumbling,pneumonia,uteria inertia,Critical
Lion,jaundice,weightloss,vomiting,nasal discharge,abdominal pain,Critical
Lion,anemia,swelling,pains,nasal discharge,uteria inertia,Critical
Lion,seizures,swelling,muscle aches,nasal discharge,fetopelvic disproportion,Critical
Lion,jaundice,scabs,sneezing,dyspnea,fetopelvic disproportion,Critical
Lion,anemia,emaciation,headache,nasal discharge,uteria inertia,Critical
Lion,anemia,ruffled feathers,pains,respiratory distress,upset stomach,Critical
Lion,anemia,weightloss,muscle aches,dyspnea,upset stomach,Critical
Lion,seizures,ruffled feathers,sneezing,difficulty in breathing,fetopelvic disproportion,Critical
Lion,anemia,weightloss,coughing,difficulty in breathing,diarrhea,Critical
Lion,anemia,weightloss,fever,pneumonia,abdominal pain,Critical
Lion,wasting,scabs,skin rashes,halitosis,diarrhea,Critical
Lion,convulsions,weightloss,coughing,respiratory distress,abdominal pain,Critical
Fox,jaundice,scabs,skin rashes,halitosis,diarrhea,Critical
Fox,convulsions,scabs,skin rashes,halitosis,fetopelvic disproportion,Critical
Fox,jaundice,emaciation,muscle aches,halitosis,diarrhea,Critical
Fox ,anemia,scabs,skin rashes,difficulty in breathing,uteria inertia,Critical
Fox,convulsions,weightloss,pains,dyspnea,diarrhea,Critical
Fox,seizures,scabs,coughing,pneumonia,diarrhea,Critical
Fox,wasting,ruffled feathers,loss of appetite,halitosis,ulcers,Critical
Goat,jaundice,scabs,stumbling,dyspnea,diarrhea,Critical
Goat,wasting,scabs,weakness,respiratory distress,upset stomach,Critical
Goat,seizures,scabs,dejection,halitosis,upset stomach,Critical
Goat,convulsions,weightloss,headache,halitosis,ulcers,Critical
Goat,jaundice,scabs,loss of appetite,respiratory distress,upset stomach,Critical
Goat,wasting,swelling,fever,nasal discharge,abdominal pain,Critical
Goat,jaundice,emaciation,weakness,halitosis,fetopelvic disproportion,Critical
Goat,wasting,weightloss,vomiting,pneumonia,diarrhea,Critical
Goat,seizures,swelling,fever,halitosis,uteria inertia,Critical
Goat,seizures,emaciation,headache,respiratory distress,abdominal pain,Critical
Goat,anemia,hairloss,fever,pneumonia,fetopelvic disproportion,Critical
Goat,convulsions,emaciation,sweating,nasal discharge,upset stomach,Critical
Goat,convulsions,scabs,skin rashes,halitosis,ulcers,Critical
Goat,wasting,swelling,headache,respiratory distress,upset stomach,Critical
Goat,convulsions,ruffled feathers,muscle aches,difficulty in breathing,fetopelvic disproportion,Critical
Goat,jaundice,hairloss,muscle aches,halitosis,diarrhea,Critical
Goat,wasting,scabs,fever,halitosis,diarrhea,Critical
Goat,convulsions,ruffled feathers,vomiting,respiratory distress,uteria inertia,Critical
Goat,convulsions,weightloss,sweating,pneumonia,ulcers,Critical
Goat,anemia,weightloss,fever,pneumonia,diarrhea,Critical
Goat,wasting,hairloss,sweating,nasal discharge,upset stomach,Critical
Goat,wasting,swelling,dejection,dyspnea,ulcers,Critical
Goat,seizures,hairloss,pains,dyspnea,abdominal pain,Critical
Goat,convulsions,emaciation,vomiting,respiratory distress,fetopelvic disproportion,Critical
Goat,convulsions,weightloss,coughing,pneumonia,fetopelvic disproportion,Critical
Goat,seizures,weightloss,skin rashes,respiratory distress,diarrhea,Critical
Deer,jaundice,emaciation,sneezing,nasal discharge,ulcers,Critical
Deer,seizures,hairloss,headache,pneumonia,abdominal pain,Critical
Deer,jaundice,hairloss,loss of appetite,pneumonia,abdominal pain,Critical
Deer,convulsions,emaciation,coughing,dyspnea,uteria inertia,Critical
Deer,seizures,emaciation,dejection,respiratory distress,ulcers,Critical
Chicken,anemia,weightloss,muscle aches,difficulty in breathing,diarrhea,Critical
Chicken,jaundice,scabs,pains,difficulty in breathing,upset stomach,Normal
Chicken,seizures,weightloss,skin rashes,pneumonia,fetopelvic disproportion,Normal
Chicken,seizures,weightloss,stumbling,nasal discharge,ulcers,Normal
Chicken,jaundice,ruffled feathers,coughing,pneumonia,upset stomach,Normal
Chicken,seizures,ruffled feathers,dejection,difficulty in breathing,uteria inertia,Normal
Chicken,seizures,ruffled feathers,pains,pneumonia,uteria inertia,Normal
Chicken,jaundice,weightloss,skin rashes,dyspnea,fetopelvic disproportion,Normal
Chicken,convulsions,scabs,stumbling,difficulty in breathing,diarrhea,Normal
Monkey,convulsions,emaciation,stumbling,dyspnea,diarrhea,Normal
Monkey,jaundice,swelling,sneezing,difficulty in breathing,ulcers,Normal
Monkey,wasting,ruffled feathers,loss of appetite,pneumonia,uteria inertia,Critical
Monkey,anemia,scabs,sweating,respiratory distress,upset stomach,Critical
Monkey,seizures,scabs,sneezing,dyspnea,fetopelvic disproportion,Critical
Monkey,seizures,swelling,fever,respiratory distress,diarrhea,Critical
Monkey,anemia,weightloss,headache,respiratory distress,ulcers,Critical
Monkey,convulsions,hairloss,sweating,halitosis,uteria inertia,Critical
Monkey,seizures,emaciation,fever,halitosis,abdominal pain,Critical
Monkey,anemia,hairloss,fever,pneumonia,diarrhea,Critical
Monkey,anemia,hairloss,coughing,dyspnea,ulcers,Critical
Monkey,convulsions,weightloss,headache,nasal discharge,upset stomach,Critical
Monkey,jaundice,hairloss,skin rashes,halitosis,ulcers,Critical
Monkey,wasting,ruffled feathers,dejection,difficulty in breathing,upset stomach,Critical
Monkey,seizures,hairloss,stumbling,difficulty in breathing,abdominal pain,Critical
Monkey,wasting,emaciation,stumbling,dyspnea,uteria inertia,Critical
Monkey,anemia,swelling,headache,nasal discharge,diarrhea,Critical
Monkey,jaundice,hairloss,fever,halitosis,abdominal pain,Critical
Monkey,seizures,weightloss,stumbling,difficulty in breathing,diarrhea,Critical
Monkey,anemia,scabs,headache,respiratory distress,upset stomach,Critical
Monkey,anemia,ruffled feathers,coughing,halitosis,uteria inertia,Critical
Monkey,anemia,ruffled feathers,coughing,difficulty in breathing,uteria inertia,Critical
Monkey,seizures,scabs,vomiting,pneumonia,fetopelvic disproportion,Critical
Monkey,seizures,emaciation,coughing,nasal discharge,diarrhea,Critical
Monkey,seizures,emaciation,headache,dyspnea,uteria inertia,Critical
Monkey,seizures,scabs,pains,nasal discharge,fetopelvic disproportion,Critical
Monkey,anemia,hairloss,pains,difficulty in breathing,fetopelvic disproportion,Critical
Monkey,anemia,weightloss,headache,difficulty in breathing,fetopelvic disproportion,Critical
Birds,wasting,emaciation,pains,pneumonia,uteria inertia,Critical
Birds,seizures,swelling,skin rashes,dyspnea,ulcers,Critical
Birds,anemia,emaciation,headache,halitosis,fetopelvic disproportion,Critical
Birds,anemia,scabs,stumbling,dyspnea,upset stomach,Critical
Birds,seizures,scabs,muscle aches,nasal discharge,diarrhea,Critical
Birds,jaundice,scabs,skin rashes,difficulty in breathing,ulcers,Critical
Birds,jaundice,scabs,fever,nasal discharge,uteria inertia,Critical
Birds,anemia,ruffled feathers,weakness,difficulty in breathing,abdominal pain,Critical
Birds,seizures,swelling,dejection,halitosis,diarrhea,Critical
Birds,seizures,swelling,sweating,halitosis,upset stomach,Critical
Birds,seizures,ruffled feathers,weakness,pneumonia,fetopelvic disproportion,Critical
Birds,convulsions,emaciation,pains,pneumonia,diarrhea,Critical
Birds,convulsions,emaciation,coughing,difficulty in breathing,upset stomach,Critical
Birds,anemia,swelling,loss of appetite,respiratory distress,abdominal pain,Critical
Birds,jaundice,hairloss,sneezing,respiratory distress,diarrhea,Critical
Birds,convulsions,swelling,vomiting,difficulty in breathing,abdominal pain,Critical
Birds,wasting,weightloss,sweating,difficulty in breathing,fetopelvic disproportion,Critical
Birds,jaundice,scabs,muscle aches,halitosis,diarrhea,Critical
Birds,jaundice,emaciation,weakness,difficulty in breathing,fetopelvic disproportion,Critical
Birds,seizures,emaciation,dejection,respiratory distress,uteria inertia,Critical
Birds,jaundice,scabs,muscle aches,halitosis,fetopelvic disproportion,Critical
Birds,wasting,weightloss,sweating,nasal discharge,ulcers,Critical
Birds,wasting,weightloss,loss of appetite,halitosis,fetopelvic disproportion,Critical
Birds,convulsions,swelling,muscle aches,dyspnea,ulcers,Critical
Birds,anemia,weightloss,dejection,respiratory distress,uteria inertia,Critical
Birds,jaundice,ruffled feathers,coughing,nasal discharge,diarrhea,Critical
Birds,seizures,weightloss,sneezing,halitosis,fetopelvic disproportion,Critical
Birds,jaundice,scabs,coughing,nasal discharge,diarrhea,Critical
Birds,jaundice,scabs,pains,halitosis,abdominal pain,Critical
Birds,seizures,scabs,sneezing,nasal discharge,uteria inertia,Critical
Birds,seizures,swelling,loss of appetite,difficulty in breathing,upset stomach,Critical
Birds,jaundice,swelling,vomiting,respiratory distress,abdominal pain,Critical
Birds,wasting,hairloss,skin rashes,nasal discharge,upset stomach,Critical
Birds,anemia,swelling,fever,nasal discharge,uteria inertia,Critical
Birds,jaundice,ruffled feathers,headache,pneumonia,diarrhea,Critical
Birds,convulsions,ruffled feathers,muscle aches,pneumonia,upset stomach,Critical
Birds,convulsions,emaciation,muscle aches,dyspnea,upset stomach,Critical
Sheep,convulsions,ruffled feathers,weakness,pneumonia,diarrhea,Critical
Sheep,jaundice,hairloss,vomiting,nasal discharge,diarrhea,Critical
Sheep,jaundice,hairloss,vomiting,difficulty in breathing,abdominal pain,Critical
Sheep,wasting,weightloss,muscle aches,difficulty in breathing,fetopelvic disproportion,Critical
Sheep,jaundice,weightloss,weakness,dyspnea,upset stomach,Critical
Sheep,convulsions,weightloss,fever,dyspnea,ulcers,Critical
Sheep,jaundice,ruffled feathers,vomiting,nasal discharge,abdominal pain,Critical
Sheep,wasting,scabs,vomiting,dyspnea,ulcers,Critical
Sheep,jaundice,scabs,sneezing,pneumonia,abdominal pain,Critical
Sheep,wasting,weightloss,pains,pneumonia,upset stomach,Critical
Sheep,seizures,scabs,skin rashes,pneumonia,diarrhea,Critical
Sheep,jaundice,ruffled feathers,weakness,difficulty in breathing,diarrhea,Critical
Sheep,jaundice,emaciation,coughing,difficulty in breathing,diarrhea,
Sheep,seizures,scabs,headache,nasal discharge,fetopelvic disproportion,Critical
Sheep,seizures,emaciation,vomiting,respiratory distress,abdominal pain,Critical
Sheep,anemia,swelling,sneezing,difficulty in breathing,diarrhea,Critical
Sheep,anemia,swelling,sweating,respiratory distress,abdominal pain,Critical
Sheep,convulsions,swelling,coughing,pneumonia,fetopelvic disproportion,Critical
Sheep,anemia,hairloss,sneezing,difficulty in breathing,abdominal pain,Critical
Sheep,anemia,scabs,sweating,respiratory distress,ulcers,Critical
Sheep,convulsions,emaciation,dejection,pneumonia,upset stomach,Critical
Sheep,convulsions,ruffled feathers,vomiting,difficulty in breathing,ulcers,Critical
Sheep,wasting,weightloss,pains,nasal discharge,uteria inertia,Critical
Sheep,anemia,swelling,skin rashes,pneumonia,upset stomach,Critical
Sheep,anemia,emaciation,dejection,nasal discharge,abdominal pain,Critical
Sheep,seizures,hairloss,muscle aches,halitosis,abdominal pain,Critical
Sheep,anemia,weightloss,coughing,dyspnea,upset stomach,Critical
Sheep,anemia,ruffled feathers,stumbling,halitosis,ulcers,Critical
Sheep,wasting,scabs,pains,difficulty in breathing,upset stomach,Critical
Sheep,seizures,swelling,sweating,nasal discharge,abdominal pain,Critical
Sheep,anemia,hairloss,vomiting,respiratory distress,uteria inertia,Critical
Sheep,seizures,ruffled feathers,dejection,respiratory distress,fetopelvic disproportion,Critical
Sheep,wasting,ruffled feathers,weakness,respiratory distress,diarrhea,Critical
Sheep,seizures,emaciation,vomiting,respiratory distress,diarrhea,Critical
Sheep,seizures,scabs,sweating,respiratory distress,diarrhea,Critical
